id,name,url,group,eliminated,prize
1,Argentina,ARG,C,FALSE,TRUE
2,Australia,AUS,D,TRUE,FALSE
3,Belgium,BEL,F,TRUE,FALSE
4,Brazil,BRA,G,TRUE,FALSE
5,Cameroon,CMR,G,TRUE,FALSE
6,Canada,CAN,F,TRUE,FALSE
7,Costa Rica,CRC,E,TRUE,FALSE
8,Croatia,CRO,F,TRUE,TRUE
9,Denmark,DEN,D,TRUE,FALSE
10,Ecuador,ECU,A,TRUE,FALSE
11,England,ENG,B,TRUE,FALSE
12,France,FRA,D,FALSE,TRUE
13,Germany,GER,E,TRUE,FALSE
14,Ghana,GHA,H,TRUE,FALSE
15,Iran,IRN,B,TRUE,FALSE
16,Japan,JPN,E,TRUE,FALSE
17,Korean Republic,KOR,H,TRUE,FALSE
18,Mexico,MEX,C,TRUE,FALSE
19,Morocco,MAR,F,TRUE,FALSE
20,Netherlands,NED,A,TRUE,FALSE
21,Poland,POL,C,TRUE,FALSE
22,Portugal,POR,H,TRUE,FALSE
23,Qatar,QAT,A,TRUE,FALSE
24,Saudi Arabia,KSA,C,TRUE,FALSE
25,Senegal,SEN,A,TRUE,FALSE
26,Serbia,SRB,G,TRUE,FALSE
27,Spain,ESP,E,TRUE,FALSE
28,Switzerland,SUI,G,TRUE,FALSE
29,Tunisia,TUN,D,TRUE,FALSE
30,USA,USA,B,TRUE,FALSE
31,Uruguay,URU,H,TRUE,FALSE
32,Wales,WAL,B,TRUE,FALSE
