id,name,team1
1,tbc,
2,tbc,
3,tbc,
4,tbc,
5,tbc,
6,tbc,
7,tbc,
8,tbc,
9,tbc,
10,tbc,
11,tbc,
12,tbc,
13,tbc,
14,tbc,
15,tbc,
16,tbc,
