id,name,url,group,eliminated,prize
1,Argentina,ARG,G,TRUE,FALSE
2,Australia,AUS,B,TRUE,FALSE
3,Brazil,BRA,F,TRUE,FALSE
4,Canada,CAN,B,TRUE,FALSE
5,China,CHN,D,TRUE,FALSE
6,Colombia,COL,H,TRUE,TRUE
7,Costa Rica,CRC,C,TRUE,TRUE
8,Denmark,DEN,D,TRUE,FALSE
9,England,ENG,D,FALSE,TRUE
10,France,FRA,F,TRUE,FALSE
11,Germany,GER,H,TRUE,FALSE
12,Haiti,HAI,D,TRUE,FALSE
13,Italy,ITA,G,TRUE,FALSE
14,Jamaica,JAM,F,TRUE,FALSE
15,Japan,JPN,C,TRUE,FALSE
16,Koren Republic,KOR,H,TRUE,FALSE
17,Morocco,MAR,H,TRUE,FALSE
18,Netherlands,NED,E,TRUE,FALSE
19,New Zealand,NZL,A,TRUE,FALSE
20,Nigeria,NGA,B,TRUE,TRUE
21,Norway,NOR,A,TRUE,FALSE
22,Panama,PAN,F,TRUE,FALSE
23,Philippines,PHI,A,TRUE,FALSE
24,Portugal,POR,E,TRUE,FALSE
25,Republic of Ireland,IRL,B,TRUE,FALSE
26,South Africa,RSA,G,TRUE,FALSE
27,Spain,ESP,C,FALSE,TRUE
28,Sweden,SWE,G,TRUE,TRUE
29,Switzerland,SUI,A,TRUE,FALSE
30,USA,USA,E,TRUE,FALSE
31,Vietnam,VIE,E,TRUE,TRUE
32,Zambia,ZAM,C,TRUE,FALSE
